Date,MMWR_week,Location,Distributed,Administered,Admin_Per_100K,Recip_Administered,Administered_Dose1_Recip,Series_Complete_Yes,Additional_Doses,Second_Booster,Administered_Bivalent
01/06/2022,1,MN,11096570,9257644,164153,9261702,4050582,3709567,1778616,,
01/06/2022,1,VT,1452400,1266574,202980,1251179,560680,485667,246026,,
01/06/2022,1,PA,26336805,20403513,159378,20455191,10119006,8221488,2747303,,
01/06/2022,1,NY,40386775,34834997,179067,34841460,16521379,14048735,4862474,,
01/06/2022,1,AR,5216470,3847782,127503,3876156,1906479,1554295,492691,,
01/06/2022,1,PR,6698330,6003460,187979,6002959,2860216,2470666,754932,,
01/06/2022,1,MS,4798705,3515156,118111,3534765,1673882,1450300,430772,,
01/06/2022,1,IH2,2595635,2041112,97998,2041112,1033254,823480,199238,,
01/06/2022,1,OH,20333655,16181328,138431,16059453,7114444,6494339,2815893,,
01/06/2022,1,MO,10181565,8147461,132750,8072925,3845008,3264934,1121026,,
01/06/2022,1,NH,3000510,2422037,178129,2411252,1356961,916731,134631,,
01/06/2022,1,CA,77883495,66900191,169315,66990820,33013122,26324995,9256911,,
01/06/2022,1,VI,135860,131718,123923,129139,63871,54017,12822,,
01/06/2022,1,VA2,7623720,6993516,0,6993516,3345328,2913282,954178,,
01/06/2022,1,NM,3906275,3472036,165585,3590988,1702151,1395271,556854,,
01/06/2022,1,BP2,305110,280337,0,280337,135923,128622,28542,,
01/06/2022,1,NE,3492130,2894196,149617,2900526,1292123,1164409,486094,,
01/06/2022,1,MP,113330,97702,188428,97806,43701,40705,14454,,
01/06/2022,1,ID,2979370,2040976,114208,2053082,935749,828885,326549,,
01/06/2022,1,WY,873365,691569,119492,689181,325290,276574,101993,,
01/06/2022,1,ND,1219960,1024301,134412,999914,477002,402983,150556,,
10/24/2021,43,FM,88470,75240,72595,75891,45808,40227,52,,
01/06/2022,1,CT,7632635,6765316,189755,6777206,3195508,2675408,1084172,,
01/06/2022,1,DD2,6285570,6923344,0,6923344,3867222,2882288,1190,,
01/06/2022,1,WI,10273055,9240483,158705,9215151,3997586,3625956,1682576,,
01/06/2022,1,MT,1771895,1454654,136104,1453419,665778,579273,236069,,
01/06/2022,1,MH,68980,48690,62631,48754,26251,23060,1609,,
01/06/2022,1,UT,5509820,4564340,142371,4520516,2169102,1892524,592861,,
01/06/2022,1,AS,83310,79194,167104,79506,40994,34947,3800,,
01/06/2022,1,IN,11315820,8589967,127595,8582701,3917884,3511958,1276569,,
01/06/2022,1,AZ,12933400,10637900,146151,10421400,4937380,4176104,1321221,,
01/06/2022,1,AL,8391130,5695747,116164,5783354,2890246,2349085,668394,,
01/06/2022,1,FL,42126435,34002943,158317,33596472,16094653,13659557,4465318,,
01/06/2022,1,IA,5805975,4679330,148311,4671625,2059274,1869493,858228,,
01/06/2022,1,OR,8683555,6890513,163370,6887405,3133574,2810968,1132348,,
12/28/2020,53,VT,26125,8352,1338,0,0,0,,,
01/06/2022,1,WV,3589025,2517331,140465,2508705,1116012,991161,385349,,
01/06/2022,1,MI,18418430,14151800,141704,14394713,6374999,5702584,2463729,,
01/06/2022,1,KY,7673385,5963769,133487,5993933,2809036,2434650,898247,,
01/06/2022,1,IL,23954195,20156464,159065,20358492,9252043,8193461,3311210,,
01/06/2022,1,AK,1343785,1033747,141310,1032750,477994,413827,147814,,
01/06/2022,1,NC,19284400,15114964,144116,14964462,8116590,5981568,1260220,,
01/06/2022,1,NJ,19143875,15181675,170923,15611227,7506509,6296483,2249884,,
01/06/2022,1,VA,17266955,14678360,171968,14635246,6797050,5831063,2234862,,
01/06/2022,1,US,632575655,515162867,155165,515162867,245653518,207016514,72991028,,
01/06/2022,1,RP,38490,37629,174758,37942,18788,16571,4912,,
01/06/2022,1,NV,5216950,4379291,142178,4335596,2161443,1749590,536764,,
01/06/2022,1,WA,15477225,12740540,167311,12789708,5793378,5193988,2064102,,
01/06/2022,1,OK,6449300,5376180,135866,5324784,2636160,2128398,661725,,
01/06/2022,1,TN,11237360,9033505,132278,8848789,4036390,3525049,1294313,,
01/06/2022,1,FM,109760,84550,82633,85300,49026,43223,3844,,
01/06/2022,1,MD,13586620,10569548,174828,10654035,4899215,4275073,1682504,,
01/06/2022,1,CO,11089475,9619008,167033,9590595,4318344,3830901,1613351,,
01/06/2022,1,ME,2966480,2544813,189316,2556302,1162090,1024121,471758,,
01/06/2022,1,GA,18890595,13523352,127369,13555856,6552709,5458048,1610217,,
01/06/2022,1,SD,1627435,1276844,144332,1286936,632752,508494,179485,,
01/05/2022,1,VT,1430990,1264414,202634,1249095,560254,485232,244792,,
01/05/2022,1,PA,25730845,20349109,158953,20401622,10099652,8212824,2721942,,
01/05/2022,1,IA,5713515,4669489,148000,4661745,2057214,1867793,852496,,
01/05/2022,1,AR,5001010,3838572,127198,3866913,1903772,1552662,487782,,
01/05/2022,1,IN,11105880,8562780,127191,8555359,3911293,3508138,1259835,,
01/05/2022,1,LA,6892830,5699580,122603,5641075,2685619,2346777,750790,,
01/05/2022,1,DE,1985875,1600251,164337,1566654,751597,627765,223601,,
01/05/2022,1,WY,847005,690135,119244,687718,324880,276287,101227,,
01/05/2022,1,RP,36490,37370,173556,37683,18781,16556,4674,,
01/05/2022,1,RI,2306765,1975095,186442,2076672,952476,814515,357043,,
